,Question,Answer,Model Guess,Label
0,enormously,tremendously,tremendously,correct
1,provisions,stipulations,provision,wrong
2,haphazardly,randomly,carelessly,wrong
3,prominent,conspicuous,influential,wrong
4,zenith,pinnacle,pinnacle,correct
5,flawed,imperfect,discredited,wrong
6,urgently,desperately,speedily,wrong
7,consumed,eaten,eaten,correct
8,advent,coming,introduction,wrong
9,concisely,succinctly,succinctly,correct
10,salutes,greetings,salute,wrong
11,solitary,alone,confinement,wrong
12,hasten,accelerate,accelerate,correct
13,perseverance,endurance,tenacity,wrong
14,fanciful,imaginative,whimsical,wrong
15,showed,demonstrated,showing,wrong
16,constantly,continually,continually,correct
17,issues,subjects,issue,wrong
18,furnish,supply,procure,wrong
19,costly,expensive,expensive,correct
20,recognized,acknowledged,recognised,wrong
21,spot,location,spots,wrong
22,make,earn,take,wrong
23,often,frequently,frequently,correct
24,easygoing,relaxed,affable,wrong
25,debate,argument,debates,wrong
26,narrow,thin,stretch,wrong
27,arranged,planned,arrange,wrong
28,infinite,limitless,limitless,correct
29,showy,striking,garish,wrong
30,levied,imposed,fines,wrong
31,deftly,skillfully,skillfully,correct
32,distribute,circulate,distributing,wrong
33,discrepancies,differences,inconsistencies,wrong
34,prolific,productive,renowned,wrong
35,unmatched,unequaled,unequaled,correct
36,peculiarly,uniquely,uniquely,correct
37,hue,color,tint,wrong
38,hind,rear,forelegs,wrong
39,highlight,accentuate,highlights,wrong
40,hastily,hurriedly,hurriedly,correct
41,temperate,mild,subtropical,wrong
42,grin,smile,smile,correct
43,verbally,orally,harassed,wrong
44,physician,doctor,surgeon,wrong
45,essentially,basically,basically,correct
46,keen,sharp,eager,wrong
47,situated,positioned,located,wrong
48,principal,major,associate,wrong
49,slowly,gradually,gradually,correct
50,built,constructed,constructed,correct
51,tasks,jobs,task,wrong
52,unlikely,improbable,likely,wrong
53,halfheartedly,apathetically,cursorily,wrong
54,annals,chronicles,tigernach,wrong
55,wildly,furiously,ridiculously,wrong
56,hailed,acclaimed,praised,wrong
57,command,mastery,commander,wrong
58,concocted,devised,preposterous,wrong
59,prospective,potential,potential,correct
60,generally,broadly,typically,wrong
61,sustained,prolonged,suffered,wrong
62,perilous,dangerous,treacherous,wrong
63,tranquillity,peacefulness,tranquility,wrong
64,dissipate,disperse,subside,wrong
65,primarily,chiefly,chiefly,correct
66,colloquial,conversational,idiomatic,wrong
67,resolved,settled,solved,wrong
68,feasible,possible,viable,wrong
69,expeditiously,rapidly,speedily,wrong
70,percentage,proportion,percent,wrong
71,terminated,ended,terminate,wrong
72,uniform,alike,uniforms,wrong
73,figure,solve,figures,wrong
74,sufficient,enough,adequate,wrong
75,fashion,manner,designer,wrong
76,marketed,sold,sold,correct
77,bigger,larger,larger,correct
78,roots,origins,origins,correct
79,normally,ordinarily,usually,wrong
